330382947,5844444,8.80E+03
330382948,5844379,1.60E+03
330382869,5844326,8.60E+03
330382843,5844275,1.70E+03
330382827,5844222,3.20E+03
330382812,5844162,5.70E+03
330382787,5844100,3.00E+03
330382777,5844046,1.10E+03
330382766,5843990,5.30E+03
330382762,5843926,2.00E+02
330382762,5843874,1.00E+02
330382766,5843791,3.90E+03
330382775,5843734,8.40E+03
330382785,5843676,2.80E+03
330382801,5843586,6.80E+03
330382810,5843554,5.20E+03
330382837,5843521,3.10E+03
330382880,5843486,4.30E+03
330382934,5843471,5.50E+03
330382992,5843472,9.40E+03
330383060,5843497,3.90E+03
330383115,5843527,4.80E+03
330383150,5843572,3.00E+02
330383160,5843624,8.70E+03
330383143,5843681,7.00E+03
330383131,5843740,9.30E+03
330383127,5843771,1.80E+03
330383073,5843856,5.00E+03
330383043,5843945,5.00E+03
330382997,5844065,5.30E+03
330383036,5844060,7.10E+03
330383054,5844077,6.00E+02
330383052,5844164,2.00E+02
330383036,5844230,4.40E+03
330383022,5844286,6.70E+03
330383013,5844347,6.20E+03
330383002,5844410,6.40E+03
330382976,5844458,4.60E+03
330382964,5844522,7.80E+03
330382945,5844573,3.80E+03
330382931,5844630,3.40E+03
330382914,5844682,6.80E+03
330382901,5844741,6.70E+03
330382886,5844796,3.80E+03
330382868,5844852,2.40E+03
330382851,5844905,7.90E+03
330382840,5844967,8.00E+02
330382824,5845020,7.90E+03
330382805,5845070,5.30E+03
330382789,5845127,7.40E+03
330382772,5845182,6.50E+03
330382764,5845245,5.60E+03
330382752,5845301,5.80E+03
330382727,5845346,1.70E+03
330382713,5845404,8.30E+03
330382698,5845463,5.40E+03
330382685,5845525,1.20E+03
330382673,5845589,9.60E+03
330382663,5845656,9.80E+03
330382636,5845705,2.40E+03
330382617,5845764,7.40E+03
330382600,5845825,3.20E+03
330382581,5845879,2.70E+03
330382561,5845926,3.40E+03
330382546,5845987,1.30E+03
330382545,5846050,3.90E+03
330382537,5846112,6.90E+03
330382527,5846180,2.10E+03
330382516,5846247,5.00E+03
330382500,5846296,3.30E+03
330382487,5846359,4.50E+03
330382471,5846422,4.60E+03
330382456,5846472,3.10E+03
330382447,5846553,4.70E+03
330382433,5846619,7.00E+03
330382409,5846643,6.00E+03
330382395,5846706,2.20E+03
330382388,5846781,4.20E+03
330382373,5846831,7.70E+03
330382358,5846885,8.20E+03
330382346,5846944,1.60E+03
330382331,5847005,4.50E+03
330382334,5847074,9.90E+03
330382341,5847131,2.80E+03
330382338,5847182,4.60E+03
330382313,5847230,7.40E+03
330382271,5847230,7.40E+03
330382279,5847258,4.60E+03
330382237,5847223,2.60E+03
330382200,5847166,9.20E+03
330382215,5847063,6.60E+03
330382234,5847005,6.00E+02
330382229,5846976,3.00E+03
330382242,5846918,5.50E+03
330382251,5846866,9.50E+03
330382265,5846810,7.30E+03
330382279,5846753,9.40E+03
330382292,5846696,4.10E+03
330382298,5846643,9.60E+03
330382304,5846588,4.00E+02
330382309,5846530,5.40E+03
330382324,5846469,6.20E+03
330382340,5846406,8.90E+03
330382361,5846340,6.00E+02
